name,price,location,make,latitude,longitude
2012 Bmw 128i Automatic Clean Title 120k miles,5495.0,Mc Adenville,Bmw,35.268938468974,-81.0763532615376
2014 CHEVROLET CRUZE 1LT AUTO,4550.0,Raleigh,CHEVROLET,35.9020012556534,-78.6279968870099
2010 Subaru Forester 2.5L  4 Cyl.  AWD  142k  27 MPG,5950.0,Cary,Subaru,35.8071985129606,-78.8869978746225
2016 Ford Fusion Titanium,4990.0,Durham,Ford,35.9780997911252,-78.8438994163172
Classic 1971 Ford Mustang,18000.0,Wake Forest,1971,35.9868018741172,-78.5514033160031
Subaru Outback 2007,4900.0,Cary,Outback,35.7981686981098,-78.7822697840451
2008 Infiniti M35,6200.0,Durham,Infiniti,35.9631009019651,-78.9315035172724
HONDA ACCORD EXL V6,7450.0,Creedmoor,ACCORD,36.1224015036523,-78.6861016829265
2010 Mazda 3- Odometer : 128100 miles,5000.0,Cary,Mazda,35.7751982471464,-78.8535984458727
Dual AC 2023 Tesla Model Y Long Range,20200.0,Raleigh,AC,35.8333992999727,-78.5799010908158
2015 Honda CRV Touring - Estate Sale,15000.0,Zebulon,Honda,35.83540350634,-78.285141807211
2016 Infiniti QX80 V8 137K MILES CLEAN TITLE 3RD ROW AUTOMATIC,12995.0,Gold Hill,Infiniti,35.5497995153431,-80.3346015270434
2008 Hyundai Sonata,4000.0,Durham,Hyundai,36.0217992821575,-78.9477972910495
2004 CHEVY IMPALA,1700.0,Raleigh,CHEVY,35.8333992999727,-78.5799010908158
2017 VW Passat R-Line,9200.0,Chapel Hill,VW,35.9202998087555,-79.0372004794813
05 VW Jetta,1000.0,Raleigh,VW,35.7414985885121,-78.6358996938777
"Subaru Forester 2.5i AWD, very low miles, excellent condition",17750.0,Raleigh,Forester,35.9034015645046,-78.7446975036736
2011 Chevy Camaro SS 6.2L,11750.0,Raleigh,Chevy,35.9183907133823,-78.5246679593681
2014 Nissan Altima,8750.0,Wake Forest,Nissan,35.9815014415547,-78.5391975960941
Chrysler Sebring Convertible for sale,3900.0,Durham,Sebring,35.9111983741804,-78.9178018045604
2004 F150,6500.0,Wake Forest,F150,35.9815014415547,-78.5391975960941
"1997 Nissan Maxima GXE 40K Original Miles 2 Owner, V6 Like New",11950.0,Garner,Nissan,35.6072786413475,-78.5837444917053
Honda 2006 CR-V,5000.0,Raleigh,2006,35.780464875199,-78.6391099764036
2003 Chevy S10 Truck with Cap.,7200.0,Chapel Hill,Chevy,35.8516938423703,-79.1034326817215
1966 Corvette Roadster,82500.0,Smithfield,Corvette,35.5067996057786,-78.3478978745083
2010 Jeep Wrangler Rubicon,6500.0,Sanford,Jeep,35.4798992372987,-79.1802995535965
BMW M4,34000.0,Raleigh,M4,35.8949017356143,-78.7051032552432
"2013 Toyota Yaris (4D hatchback) - 98k - No accidents, clean title",7500.0,Raleigh,Toyota,35.8520009477484,-78.6841003413483
Dodge Ram 1500,4500.0,Wendell,Ram,35.7980019673914,-78.3926011875976
2014 Hyundai Elantra,4995.0,Sanford,Hyundai,35.46980085616,-79.1717006030077
1987 GMC pickup square body,3995.0,Sanford,GMC,35.46980085616,-79.1717006030077
2016 Jaguar XF LOW LOW MILES,6995.0,Sanford,Jaguar,35.46980085616,-79.1717006030077
1997 Ford Ranger 5 spd manual,1750.0,Sanford,Ford,35.46980085616,-79.1717006030077
2001 Toyota Camry 1-Owner  2.2L  4 Cyl.  125k  30 MPG,4700.0,Cary,Toyota,35.7956007012722,-78.7941002165983
1987 Mercedes-Benz G Wolf 240GD Diesel 4x4,36000.0,Cary,Mercedes-Benz,35.8138986814165,-78.8836030996865
1991 BMW E34 M5 Sedan,20000.0,Cary,BMW,35.8071985129606,-78.8869978746225
