name,price,location,make,latitude,longitude
2012 Bmw 128I 120K,5495.0,Mc Adenville,BMW,35.268938468974,-81.0763532615376
2014 Chevrolet Cruze 1Lt Auto,4550.0,Raleigh,CHEVROLET,35.9020012556534,-78.6279968870099
2010 Subaru Forester 2.5L . 142K 27,5950.0,Cary,SUBARU,35.8071985129606,-78.8869978746225
2016 Ford Fusion Titanium,4990.0,Durham,FORD,35.9780997911252,-78.8438994163172
Classic 1971 Ford Mustang,18000.0,Wake Forest,CLASSIC,35.9868018741172,-78.5514033160031
Subaru Outback 2007,4900.0,Cary,SUBARU,35.7981686981098,-78.7822697840451
2008 Infiniti M35,6200.0,Durham,INFINITI,35.9631009019651,-78.9315035172724
Honda Accord Exl,7450.0,Creedmoor,HONDA,36.1224015036523,-78.6861016829265
2010 Mazda 3- : 128100,5000.0,Cary,MAZDA,35.7751982471464,-78.8535984458727
Dual Ac 2023 Tesla Model Y Long Range,20200.0,Raleigh,DUAL,35.8333992999727,-78.5799010908158
2015 Honda Crv Touring,15000.0,Zebulon,HONDA,35.83540350634,-78.285141807211
2016 Infiniti Qx80 137K 3Rd Row,12995.0,Gold Hill,INFINITI,35.5497995153431,-80.3346015270434
2008 Hyundai Sonata,4000.0,Durham,HYUNDAI,36.0217992821575,-78.9477972910495
2004 Chevy Impala,1700.0,Raleigh,CHEVROLET,35.8333992999727,-78.5799010908158
2017 Vw Passat R-Line,9200.0,Chapel Hill,VW,35.9202998087555,-79.0372004794813
05 Vw Jetta,1000.0,Raleigh,05,35.7414985885121,-78.6358996938777
"Subaru Forester 2.5I , Very Low , Excellent Condition",17750.0,Raleigh,SUBARU,35.9034015645046,-78.7446975036736
2011 Chevy Camaro Ss 6.2L,11750.0,Raleigh,CHEVROLET,35.9183907133823,-78.5246679593681
2014 Nissan Altima,8750.0,Wake Forest,NISSAN,35.9815014415547,-78.5391975960941
Chrysler Sebring Convertible For Sale,3900.0,Durham,CHRYSLER,35.9111983741804,-78.9178018045604
2004 F150,6500.0,Wake Forest,FORD,35.9815014415547,-78.5391975960941
1997 Nissan Maxima Gxe 40K Original 2 Owner,11950.0,Garner,NISSAN,35.6072786413475,-78.5837444917053
Honda 2006 Cr-V,5000.0,Raleigh,HONDA,35.780464875199,-78.6391099764036
2003 Chevy S10 Truck With Cap,7200.0,Chapel Hill,CHEVROLET,35.8516938423703,-79.1034326817215
1966 Corvette Roadster,82500.0,Smithfield,CORVETTE,35.5067996057786,-78.3478978745083
2010 Jeep Wrangler Rubicon,6500.0,Sanford,JEEP,35.4798992372987,-79.1802995535965
Bmw M4,34000.0,Raleigh,BMW,35.8949017356143,-78.7051032552432
2013 Toyota Yaris (4D Hatchback) - 98K - No Accidents,7500.0,Raleigh,TOYOTA,35.8520009477484,-78.6841003413483
Dodge Ram 1500,4500.0,Wendell,DODGE,35.7980019673914,-78.3926011875976
2014 Hyundai Elantra,4995.0,Sanford,HYUNDAI,35.46980085616,-79.1717006030077
1987 Gmc Pickup Square Body,3995.0,Sanford,GMC,35.46980085616,-79.1717006030077
2016 Jaguar Xf Low Low,6995.0,Sanford,JAGUAR,35.46980085616,-79.1717006030077
1997 Ford Ranger 5 Spd,1750.0,Sanford,FORD,35.46980085616,-79.1717006030077
2001 Toyota Camry 1-Owner 2.2L . 125K 30,4700.0,Cary,TOYOTA,35.7956007012722,-78.7941002165983
1987 Mercedes-Benz G Wolf 240Gd Diesel 4X4,36000.0,Cary,MERCEDES-BENZ,35.8138986814165,-78.8836030996865
